epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1179.15,1.37566,2.39238,1.50041,0.58418,0.42227,0.49359,0.3175,1.27556,2.20519,1.39781,0.0058708,0.0058708,0.0058708
64,1197.37,1.36854,2.30766,1.47975,0.59415,0.43089,0.49546,0.32045,1.27418,2.18566,1.39711,0.0058042,0.0058042,0.0058042
65,1215.48,1.37493,2.34611,1.49034,0.56875,0.44527,0.49469,0.31799,1.28263,2.18102,1.40144,0.0057376,0.0057376,0.0057376
66,1233.49,1.38887,2.40402,1.50892,0.57918,0.4399,0.49891,0.32565,1.25661,2.16148,1.39056,0.005671,0.005671,0.005671
67,1251.76,1.40053,2.38536,1.49862,0.58191,0.43486,0.50583,0.32713,1.25965,2.17201,1.38881,0.0056044,0.0056044,0.0056044
68,1269.85,1.37135,2.33729,1.48053,0.57436,0.43999,0.49838,0.32353,1.26894,2.15817,1.38684,0.0055378,0.0055378,0.0055378
69,1287.83,1.33887,2.31629,1.47494,0.56632,0.44455,0.49225,0.31667,1.26805,2.18056,1.39124,0.0054712,0.0054712,0.0054712
70,1305.87,1.34813,2.33575,1.47975,0.59406,0.44514,0.51726,0.32896,1.29669,2.14572,1.41353,0.0054046,0.0054046,0.0054046
71,1324.29,1.38451,2.34409,1.49157,0.58691,0.43533,0.50888,0.32426,1.30359,2.16402,1.41969,0.005338,0.005338,0.005338
72,1342.6,1.38827,2.35187,1.49566,0.58881,0.43125,0.49906,0.32149,1.2652,2.16905,1.40175,0.0052714,0.0052714,0.0052714
73,1360.91,1.34353,2.2967,1.48459,0.59844,0.42854,0.50355,0.3251,1.26941,2.14559,1.38733,0.0052048,0.0052048,0.0052048
74,1379.07,1.35917,2.40261,1.50107,0.58627,0.43997,0.50381,0.3235,1.26668,2.12922,1.39268,0.0051382,0.0051382,0.0051382
75,1397.03,1.32488,2.31212,1.48048,0.59451,0.43389,0.50154,0.32598,1.2572,2.11795,1.38278,0.0050716,0.0050716,0.0050716
76,1415.38,1.37464,2.3013,1.47535,0.6091,0.43216,0.50539,0.31987,1.29737,2.1483,1.39519,0.005005,0.005005,0.005005
77,1433.31,1.33411,2.30234,1.48162,0.58601,0.45174,0.51845,0.33577,1.26661,2.09981,1.39118,0.0049384,0.0049384,0.0049384
78,1451.59,1.30841,2.28823,1.47236,0.60699,0.43975,0.50947,0.33371,1.23872,2.0857,1.37286,0.0048718,0.0048718,0.0048718
79,1469.82,1.37474,2.26573,1.46352,0.60292,0.43075,0.50588,0.32767,1.27739,2.10083,1.39622,0.0048052,0.0048052,0.0048052
80,1487.99,1.30939,2.22605,1.4535,0.55681,0.45713,0.50167,0.329,1.23472,2.1498,1.36989,0.0047386,0.0047386,0.0047386
81,1506.37,1.32101,2.26747,1.46611,0.60191,0.44771,0.51633,0.33248,1.26522,2.09984,1.39582,0.004672,0.004672,0.004672
82,1524.83,1.3657,2.31887,1.47472,0.58979,0.45098,0.51775,0.33944,1.23136,2.06893,1.36611,0.0046054,0.0046054,0.0046054
83,1543.79,1.3461,2.2243,1.46847,0.55963,0.45907,0.50409,0.3304,1.23529,2.11994,1.37184,0.0045388,0.0045388,0.0045388
84,1562.41,1.3416,2.21845,1.45696,0.58491,0.45021,0.50946,0.33029,1.27069,2.0967,1.39189,0.0044722,0.0044722,0.0044722
85,1581.24,1.35842,2.32036,1.4798,0.56047,0.46471,0.50534,0.32853,1.24429,2.07704,1.37682,0.0044056,0.0044056,0.0044056
86,1600.33,1.34022,2.2365,1.4619,0.56716,0.46344,0.51501,0.33535,1.25708,2.06336,1.37504,0.004339,0.004339,0.004339
87,1618.89,1.33792,2.25148,1.46412,0.60822,0.44747,0.51534,0.3382,1.23799,2.04116,1.37054,0.0042724,0.0042724,0.0042724
88,1636.83,1.34443,2.25059,1.45643,0.58255,0.46435,0.52021,0.33863,1.24496,2.05848,1.37348,0.0042058,0.0042058,0.0042058
89,1655.06,1.33365,2.25165,1.4625,0.59253,0.45147,0.51103,0.33296,1.25026,2.08916,1.37414,0.0041392,0.0041392,0.0041392
90,1673.01,1.35437,2.31097,1.47623,0.5852,0.457,0.50936,0.33262,1.26496,2.11601,1.3821,0.0040726,0.0040726,0.0040726
91,1692.1,1.31605,2.17935,1.43738,0.59067,0.4592,0.51825,0.34167,1.2317,2.03693,1.36242,0.004006,0.004006,0.004006
92,1711.63,1.33826,2.23977,1.45614,0.58937,0.44762,0.50592,0.33567,1.21886,2.06893,1.34986,0.0039394,0.0039394,0.0039394
93,1730.5,1.37075,2.19753,1.45229,0.61998,0.44148,0.52091,0.3391,1.24582,2.05942,1.37164,0.0038728,0.0038728,0.0038728
94,1749.32,1.33914,2.26742,1.46611,0.62803,0.43515,0.51988,0.3441,1.23011,2.06873,1.36178,0.0038062,0.0038062,0.0038062
95,1768.65,1.32101,2.18491,1.45463,0.57936,0.46255,0.51083,0.33989,1.20614,2.04851,1.34854,0.0037396,0.0037396,0.0037396
96,1786.61,1.31224,2.21049,1.45831,0.57499,0.45893,0.51436,0.33736,1.22955,2.03444,1.36858,0.003673,0.003673,0.003673
97,1805.11,1.32446,2.20459,1.45796,0.58982,0.45646,0.52229,0.34493,1.20983,2.01665,1.34964,0.0036064,0.0036064,0.0036064
98,1824.37,1.32756,2.20147,1.45117,0.56896,0.47746,0.5221,0.33744,1.25529,2.02617,1.38065,0.0035398,0.0035398,0.0035398
99,1843.47,1.29637,2.17394,1.44722,0.58354,0.46169,0.51972,0.34265,1.21713,2.02033,1.34642,0.0034732,0.0034732,0.0034732
100,1862.44,1.31966,2.18703,1.44132,0.597,0.45324,0.51784,0.33978,1.22304,2.00991,1.34842,0.0034066,0.0034066,0.0034066
101,1881.77,1.34218,2.17593,1.44301,0.58233,0.47118,0.52966,0.34791,1.22676,2.0043,1.35287,0.00334,0.00334,0.00334
