epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1535.13,2.00921,4.51516,1.58469,0.42662,0.31536,0.31732,0.17995,1.92795,4.95678,1.57349,0.00684378,0.00684378,0.00684378
59,1561.04,1.99251,4.44661,1.57873,0.51313,0.40448,0.43878,0.26367,1.82904,3.74394,1.4727,0.00674612,0.00674612,0.00674612
60,1586.78,1.9456,4.48334,1.57078,0.51854,0.40033,0.44014,0.26029,1.86951,3.76824,1.4807,0.00664769,0.00664769,0.00664769
61,1612.89,2.01038,4.49615,1.58573,0.49155,0.3787,0.40656,0.23841,1.93865,3.96482,1.51607,0.00654854,0.00654854,0.00654854
62,1638.59,1.96709,4.4056,1.57123,0.49413,0.42119,0.43814,0.25996,1.83712,3.75718,1.46731,0.00644871,0.00644871,0.00644871
63,1664.31,1.993,4.3569,1.57531,0.55902,0.39897,0.46021,0.27983,1.83073,3.59865,1.47124,0.00634825,0.00634825,0.00634825
64,1690.34,1.96692,4.33198,1.55349,0.54803,0.40991,0.44906,0.25796,1.92831,3.54213,1.52432,0.00624721,0.00624721,0.00624721
65,1715.97,1.96916,4.29009,1.56006,0.53348,0.41128,0.46233,0.28348,1.80468,3.57876,1.45137,0.00614561,0.00614561,0.00614561
66,1742.27,1.96415,4.37362,1.58179,0.5522,0.3885,0.43807,0.26807,1.80212,3.69442,1.46387,0.00604352,0.00604352,0.00604352
67,1768.47,1.94958,4.36137,1.5596,0.52508,0.41819,0.44167,0.26452,1.81465,3.51349,1.44991,0.00594097,0.00594097,0.00594097
68,1794.54,1.95256,4.31582,1.56391,0.53146,0.40592,0.4512,0.2768,1.78696,3.60345,1.43881,0.00583801,0.00583801,0.00583801
69,1820.54,1.91925,4.32923,1.5607,0.53678,0.42058,0.45422,0.27628,1.79898,3.54546,1.45599,0.00573468,0.00573468,0.00573468
70,1846.23,1.93103,4.23629,1.54266,0.52929,0.4295,0.46681,0.27907,1.85107,3.54323,1.45747,0.00563104,0.00563104,0.00563104
71,1872.21,1.95352,4.23465,1.55241,0.55013,0.39224,0.44178,0.26855,1.76672,3.54046,1.43691,0.00552712,0.00552712,0.00552712
72,1898.07,1.96505,4.24074,1.54685,0.53358,0.42304,0.45839,0.28301,1.76228,3.4518,1.42624,0.00542297,0.00542297,0.00542297
73,1924.08,1.91573,4.15875,1.54161,0.52221,0.44521,0.47238,0.2867,1.83652,3.46357,1.46188,0.00531864,0.00531864,0.00531864
74,1949.93,1.92902,4.19116,1.55281,0.5445,0.43027,0.48001,0.29185,1.80156,3.43936,1.43853,0.00521417,0.00521417,0.00521417
75,1976.41,1.88451,4.16391,1.54029,0.5261,0.42392,0.45572,0.2843,1.73712,3.46645,1.41582,0.00510961,0.00510961,0.00510961
76,2003.92,1.94007,3.99456,1.51704,0.56543,0.42612,0.47279,0.2954,1.75954,3.42277,1.42931,0.005005,0.005005,0.005005
77,2031.34,1.90002,4.08741,1.5288,0.53251,0.43351,0.47582,0.29624,1.77003,3.39196,1.4252,0.00490039,0.00490039,0.00490039
78,2057.48,1.89605,4.11718,1.53083,0.53967,0.4331,0.47817,0.29703,1.7618,3.42311,1.42234,0.00479583,0.00479583,0.00479583
79,2083.53,1.91101,4.04999,1.53863,0.5482,0.42536,0.48176,0.29928,1.77098,3.37516,1.43064,0.00469136,0.00469136,0.00469136
80,2109.48,1.89937,3.99762,1.52196,0.55478,0.43539,0.49302,0.30133,1.81942,3.34528,1.44952,0.00458703,0.00458703,0.00458703
81,2135.56,1.87703,3.99691,1.51432,0.569,0.43028,0.48807,0.30603,1.73023,3.2679,1.4035,0.00448288,0.00448288,0.00448288
82,2161.97,1.90365,4.14988,1.5381,0.5517,0.4328,0.49237,0.31211,1.72595,3.29122,1.40271,0.00437896,0.00437896,0.00437896
83,2187.67,1.90014,4.01001,1.51425,0.55272,0.42279,0.48066,0.30098,1.76537,3.35421,1.4275,0.00427532,0.00427532,0.00427532
84,2213.48,1.91714,4.06384,1.53761,0.54829,0.43211,0.4872,0.31153,1.70669,3.30219,1.40392,0.00417199,0.00417199,0.00417199
85,2239.64,1.86587,4.11788,1.52673,0.55466,0.42598,0.47359,0.30561,1.67526,3.34727,1.37812,0.00406903,0.00406903,0.00406903
86,2265.89,1.89921,4.00415,1.52888,0.52761,0.43116,0.47044,0.29347,1.74997,3.35083,1.416,0.00396648,0.00396648,0.00396648
87,2291.47,1.88595,3.90351,1.51891,0.54965,0.40958,0.45933,0.28443,1.76179,3.55653,1.43049,0.00386439,0.00386439,0.00386439
88,2317.08,1.86622,3.89724,1.51363,0.54905,0.425,0.47391,0.29666,1.75565,3.33861,1.41709,0.00376279,0.00376279,0.00376279
