epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1000.78,1.93028,3.80753,1.4814,0.60466,0.44859,0.51986,0.31647,1.83794,3.20927,1.39474,0.00634825,0.00634825,0.00634825
64,1015.98,1.91134,3.78164,1.45972,0.5877,0.44805,0.52092,0.32774,1.75873,3.18462,1.37822,0.00624721,0.00624721,0.00624721
65,1031.27,1.90307,3.72237,1.46506,0.57461,0.44354,0.50908,0.31242,1.84275,3.21907,1.40966,0.00614561,0.00614561,0.00614561
66,1046.73,1.89959,3.85517,1.48654,0.58843,0.44956,0.51577,0.32793,1.71546,3.1484,1.34562,0.00604352,0.00604352,0.00604352
67,1061.97,1.87562,3.81563,1.46599,0.59588,0.45279,0.52215,0.32809,1.75788,3.18452,1.37058,0.00594097,0.00594097,0.00594097
68,1077.09,1.895,3.80292,1.4793,0.5999,0.45351,0.52469,0.33318,1.7191,3.14743,1.34744,0.00583801,0.00583801,0.00583801
69,1093.01,1.86098,3.78979,1.47284,0.61137,0.44821,0.52087,0.32743,1.74534,3.18234,1.35531,0.00573468,0.00573468,0.00573468
70,1108.49,1.86332,3.69632,1.45673,0.60707,0.46408,0.54037,0.33878,1.76423,3.11221,1.36382,0.00563104,0.00563104,0.00563104
71,1124.07,1.90183,3.73126,1.46834,0.60374,0.44159,0.52158,0.32898,1.72117,3.17992,1.3499,0.00552712,0.00552712,0.00552712
72,1139.33,1.90568,3.68887,1.45692,0.57288,0.46286,0.52657,0.33347,1.70386,3.1475,1.33421,0.00542297,0.00542297,0.00542297
73,1154.51,1.85646,3.63728,1.45244,0.56914,0.47963,0.52978,0.33388,1.75546,3.13246,1.35202,0.00531864,0.00531864,0.00531864
74,1169.89,1.88653,3.71386,1.46938,0.57807,0.46341,0.51928,0.33345,1.70782,3.09759,1.34074,0.00521417,0.00521417,0.00521417
75,1185.43,1.83979,3.69502,1.46037,0.56159,0.49817,0.5376,0.34769,1.64157,3.03694,1.3105,0.00510961,0.00510961,0.00510961
76,1200.62,1.8852,3.53151,1.4333,0.60325,0.48155,0.53677,0.3424,1.7167,3.08875,1.34741,0.005005,0.005005,0.005005
77,1215.88,1.8335,3.58311,1.43919,0.57399,0.46288,0.52629,0.33215,1.75095,3.11065,1.34509,0.00490039,0.00490039,0.00490039
78,1231.28,1.83987,3.59829,1.44538,0.57859,0.46718,0.52131,0.3333,1.72464,3.13573,1.34821,0.00479583,0.00479583,0.00479583
79,1246.59,1.8495,3.54862,1.45104,0.58633,0.4835,0.53592,0.3414,1.71484,3.0488,1.34623,0.00469136,0.00469136,0.00469136
80,1262.14,1.84151,3.51111,1.43391,0.60891,0.47743,0.55044,0.35382,1.6829,2.99315,1.31589,0.00458703,0.00458703,0.00458703
81,1277.53,1.83093,3.50531,1.43797,0.62057,0.46781,0.54691,0.34833,1.72301,3.03359,1.33398,0.00448288,0.00448288,0.00448288
82,1292.96,1.85356,3.62647,1.45091,0.59904,0.46537,0.5414,0.34358,1.75244,3.02353,1.34461,0.00437896,0.00437896,0.00437896
83,1308.19,1.84632,3.52896,1.42961,0.63559,0.45763,0.53693,0.35233,1.63233,2.99497,1.30253,0.00427532,0.00427532,0.00427532
84,1323.66,1.85901,3.56961,1.44546,0.59325,0.48152,0.54114,0.348,1.69671,3.00977,1.32826,0.00417199,0.00417199,0.00417199
85,1339,1.8113,3.61376,1.44487,0.59579,0.48118,0.54391,0.35657,1.6541,2.97023,1.3026,0.00406903,0.00406903,0.00406903
86,1354.54,1.85286,3.5403,1.44775,0.61323,0.47323,0.54453,0.35433,1.65683,2.95731,1.3119,0.00396648,0.00396648,0.00396648
87,1369.9,1.83312,3.48028,1.43648,0.6365,0.47555,0.55625,0.35938,1.67054,2.96724,1.31676,0.00386439,0.00386439,0.00386439
88,1385.44,1.8186,3.44826,1.4299,0.60722,0.46686,0.5328,0.34278,1.70457,3.00038,1.31769,0.00376279,0.00376279,0.00376279
89,1401.06,1.86395,3.51831,1.44284,0.61761,0.46995,0.54122,0.34948,1.70489,3.00282,1.32499,0.00366175,0.00366175,0.00366175
90,1416.54,1.79284,3.43319,1.41178,0.60422,0.48248,0.54601,0.34968,1.69288,3.00585,1.31437,0.00356129,0.00356129,0.00356129
91,1432.11,1.79621,3.39679,1.4196,0.6236,0.47318,0.55124,0.35881,1.66814,2.94059,1.31026,0.00346146,0.00346146,0.00346146
92,1447.74,1.81255,3.43034,1.42582,0.62703,0.47256,0.5455,0.35937,1.64532,2.9328,1.3028,0.00336231,0.00336231,0.00336231
93,1463.41,1.87792,3.56312,1.4477,0.59398,0.48692,0.55008,0.3621,1.6601,2.93213,1.3019,0.00326388,0.00326388,0.00326388
94,1478.74,1.78948,3.43159,1.42763,0.62105,0.48234,0.55374,0.36911,1.62467,2.89012,1.28747,0.00316622,0.00316622,0.00316622
95,1494.02,1.79889,3.39556,1.43381,0.59113,0.48454,0.55009,0.36755,1.62113,2.8913,1.28854,0.00306936,0.00306936,0.00306936
96,1509.42,1.79843,3.4241,1.44018,0.63636,0.48406,0.54952,0.36108,1.64195,2.89017,1.29084,0.00297335,0.00297335,0.00297335
97,1524.67,1.80043,3.31498,1.4047,0.59946,0.49211,0.5433,0.3587,1.63216,2.91003,1.29722,0.00287823,0.00287823,0.00287823
98,1540.11,1.81904,3.32612,1.41406,0.61998,0.49025,0.55214,0.36657,1.6246,2.88031,1.28773,0.00278405,0.00278405,0.00278405
99,1555.35,1.73331,3.28222,1.40829,0.59768,0.49248,0.55352,0.36861,1.6106,2.86276,1.2858,0.00269084,0.00269084,0.00269084
100,1570.36,1.78697,3.32277,1.40421,0.604,0.50208,0.55868,0.36796,1.63781,2.88395,1.29108,0.00259864,0.00259864,0.00259864
101,1585.78,1.8304,3.34799,1.42819,0.62454,0.49385,0.55747,0.36665,1.63956,2.88265,1.29185,0.0025075,0.0025075,0.0025075
102,1601.04,1.83773,3.25187,1.40492,0.61222,0.49225,0.5575,0.36951,1.60765,2.86902,1.27682,0.00241746,0.00241746,0.00241746
103,1616.77,1.77371,3.32522,1.4046,0.61301,0.48202,0.54849,0.36554,1.59193,2.86982,1.27052,0.00232855,0.00232855,0.00232855
104,1632.45,1.79531,3.29557,1.40722,0.61964,0.49511,0.55354,0.36843,1.61172,2.88235,1.28499,0.00224081,0.00224081,0.00224081
105,1647.73,1.76554,3.25987,1.38918,0.616,0.49947,0.56313,0.37335,1.62471,2.85133,1.28011,0.00215429,0.00215429,0.00215429
106,1663.05,1.78475,3.28545,1.41125,0.62292,0.50133,0.56625,0.37531,1.60726,2.80278,1.27162,0.00206901,0.00206901,0.00206901
107,1678.5,1.78077,3.22395,1.38533,0.62578,0.49864,0.56878,0.37884,1.60779,2.79408,1.27191,0.00198503,0.00198503,0.00198503
108,1693.75,1.79634,3.29275,1.40884,0.61633,0.50885,0.56541,0.37229,1.62705,2.79806,1.27725,0.00190237,0.00190237,0.00190237
109,1709.25,1.77804,3.24116,1.39642,0.6101,0.51445,0.56788,0.37632,1.6106,2.77866,1.26755,0.00182107,0.00182107,0.00182107
110,1724.57,1.70729,3.17733,1.38318,0.61681,0.51032,0.56463,0.37728,1.59941,2.79604,1.27236,0.00174116,0.00174116,0.00174116
111,1740.04,1.77445,3.133,1.38886,0.61971,0.50454,0.56804,0.37976,1.58762,2.78857,1.26381,0.00166269,0.00166269,0.00166269
112,1755.94,1.79453,3.19429,1.40275,0.6083,0.51575,0.56651,0.37481,1.60742,2.81101,1.27278,0.00158569,0.00158569,0.00158569
113,1771.19,1.76744,3.11626,1.36904,0.60726,0.50678,0.56426,0.37589,1.60553,2.81337,1.2721,0.00151018,0.00151018,0.00151018
114,1786.54,1.77032,3.13967,1.39482,0.62593,0.50155,0.56365,0.37508,1.59985,2.80066,1.27066,0.00143621,0.00143621,0.00143621
115,1802.12,1.7776,3.18517,1.40263,0.60523,0.5077,0.56088,0.37411,1.59379,2.80828,1.26803,0.0013638,0.0013638,0.0013638
116,1817.49,1.73992,3.10776,1.381,0.61689,0.50845,0.56708,0.37587,1.60938,2.79272,1.27316,0.00129299,0.00129299,0.00129299
117,1833.02,1.77726,3.129,1.38802,0.60978,0.50586,0.56545,0.37658,1.60506,2.81249,1.27202,0.00122381,0.00122381,0.00122381
118,1848.12,1.76166,3.10743,1.38465,0.63697,0.49883,0.56592,0.37655,1.5837,2.80597,1.26205,0.00115629,0.00115629,0.00115629
