epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2439.93,1.36221,2.47041,1.47896,0.58624,0.44752,0.50303,0.32321,1.25698,2.11527,1.38255,0.004006,0.004006,0.004006
92,2467,1.36662,2.49302,1.48043,0.57066,0.42827,0.47843,0.30352,1.28064,2.1503,1.39056,0.0039394,0.0039394,0.0039394
93,2494.22,1.41531,2.43609,1.48562,0.593,0.42984,0.49716,0.325,1.23476,2.13089,1.36301,0.0038728,0.0038728,0.0038728
94,2521.76,1.373,2.49243,1.49354,0.59226,0.42344,0.49176,0.32006,1.26368,2.15586,1.37609,0.0038062,0.0038062,0.0038062
95,2549.57,1.35615,2.41141,1.48783,0.58441,0.43696,0.50219,0.32665,1.25178,2.10966,1.37581,0.0037396,0.0037396,0.0037396
96,2577.28,1.34404,2.44709,1.48613,0.59504,0.43929,0.5011,0.32281,1.25488,2.08504,1.37454,0.003673,0.003673,0.003673
97,2604.28,1.35951,2.45848,1.48523,0.57857,0.43539,0.50084,0.3246,1.25495,2.11527,1.36339,0.0036064,0.0036064,0.0036064
98,2630.29,1.36067,2.41058,1.48313,0.59452,0.43969,0.50886,0.33375,1.23032,2.08517,1.35605,0.0035398,0.0035398,0.0035398
99,2658.11,1.32752,2.4217,1.47789,0.61282,0.43944,0.51833,0.33842,1.2324,2.05217,1.35588,0.0034732,0.0034732,0.0034732
100,2686.48,1.34825,2.40904,1.46999,0.58052,0.45308,0.50477,0.32843,1.23777,2.06307,1.35506,0.0034066,0.0034066,0.0034066
101,2714.53,1.36984,2.3721,1.46688,0.59788,0.43262,0.5121,0.33362,1.23227,2.07421,1.3569,0.00334,0.00334,0.00334
102,2743.05,1.35819,2.40889,1.47755,0.59353,0.44569,0.50531,0.32828,1.23643,2.05699,1.36131,0.0032734,0.0032734,0.0032734
103,2771.72,1.35998,2.377,1.47223,0.57499,0.45946,0.50904,0.33079,1.22414,2.0624,1.35366,0.0032068,0.0032068,0.0032068
104,2799.49,1.30623,2.37614,1.46701,0.57172,0.44989,0.5051,0.3293,1.22998,2.08928,1.35366,0.0031402,0.0031402,0.0031402
105,2826.93,1.3252,2.33574,1.4533,0.59906,0.44267,0.50965,0.33427,1.2286,2.03832,1.3499,0.0030736,0.0030736,0.0030736
106,2854.21,1.34134,2.36302,1.46754,0.59321,0.44148,0.51296,0.33293,1.25006,2.07085,1.36592,0.003007,0.003007,0.003007
107,2881.46,1.35813,2.34671,1.47617,0.59326,0.44598,0.51122,0.33545,1.23764,2.04954,1.35996,0.0029404,0.0029404,0.0029404
108,2907.49,1.36652,2.34711,1.46551,0.57898,0.4525,0.51236,0.33536,1.23179,2.04938,1.35585,0.0028738,0.0028738,0.0028738
109,2934.59,1.32145,2.33314,1.47124,0.59306,0.44885,0.51029,0.33552,1.22051,2.06249,1.34118,0.0028072,0.0028072,0.0028072
110,2962.21,1.31685,2.38031,1.46828,0.56957,0.46426,0.51724,0.34285,1.21132,2.03036,1.3435,0.0027406,0.0027406,0.0027406
111,2988.79,1.33991,2.3023,1.45759,0.58625,0.4567,0.51662,0.33818,1.23156,2.04588,1.35303,0.002674,0.002674,0.002674
112,3015.21,1.31812,2.31528,1.4599,0.61,0.44416,0.51438,0.34041,1.21241,2.02589,1.33804,0.0026074,0.0026074,0.0026074
113,3042.55,1.31254,2.30366,1.44905,0.57383,0.46724,0.51786,0.34316,1.20807,1.99529,1.32963,0.0025408,0.0025408,0.0025408
114,3069.83,1.34208,2.29562,1.46269,0.60928,0.4466,0.52211,0.34374,1.22792,2.01173,1.34226,0.0024742,0.0024742,0.0024742
115,3096.03,1.34003,2.27861,1.45572,0.59871,0.45261,0.52348,0.34063,1.24168,2.01768,1.35353,0.0024076,0.0024076,0.0024076
116,3123.71,1.31738,2.29149,1.44983,0.59561,0.45867,0.51736,0.34222,1.20619,2.01157,1.33132,0.002341,0.002341,0.002341
117,3152.22,1.36418,2.30176,1.45958,0.60108,0.45965,0.52181,0.34336,1.20223,1.98177,1.32767,0.0022744,0.0022744,0.0022744
118,3179.86,1.31575,2.2969,1.44779,0.60374,0.45603,0.52748,0.34434,1.23028,1.98957,1.34426,0.0022078,0.0022078,0.0022078
119,3208.05,1.31711,2.28626,1.45298,0.5981,0.4453,0.51603,0.34175,1.21958,2.02618,1.33911,0.0021412,0.0021412,0.0021412
120,3236.55,1.31349,2.23233,1.44131,0.58984,0.45117,0.51779,0.34337,1.20898,2.01204,1.33089,0.0020746,0.0020746,0.0020746
121,3264.63,1.33397,2.29035,1.45064,0.59937,0.45093,0.51953,0.34407,1.2222,2.01526,1.33993,0.002008,0.002008,0.002008
122,3292,1.32381,2.2852,1.44688,0.5781,0.46459,0.52203,0.34838,1.19528,1.98675,1.32735,0.0019414,0.0019414,0.0019414
